timestamp,product_id,price,best_bid,best_ask,mid_price,ema_price,ema_mid
2025-06-18T10:36:35.046399Z,BTC-USD,104468,104468,104468,104468,104466,104465
2025-06-18T10:36:35.050503Z,BTC-USD,104468,104468,104468,104468,104466,104465
2025-06-18T10:36:35.086752Z,BTC-USD,104468,104468,104469,104468,104466,104465
2025-06-18T10:36:35.086752Z,BTC-USD,104469,104468,104469,104468,104466,104465
2025-06-18T10:36:35.538500Z,BTC-USD,104468,104458,104468,104463,104466,104465
2025-06-18T10:36:35.538500Z,BTC-USD,104458,104458,104468,104463,104466,104465
2025-06-18T10:36:35.735612Z,BTC-USD,104467,104467,104469,104468,104466,104465
2025-06-18T10:36:35.735612Z,BTC-USD,104467,104467,104469,104468,104466,104465
2025-06-18T10:36:35.921122Z,BTC-USD,104468,104467,104468,104467,104466,104465
2025-06-18T10:36:36.082044Z,BTC-USD,104470,104467,104470,104468,104466,104465
2025-06-18T10:36:36.229648Z,BTC-USD,104467,104467,104467,104467,104466,104466
2025-06-18T10:36:36.282450Z,BTC-USD,104469,104459,104469,104464,104466,104465
2025-06-18T10:36:36.559741Z,BTC-USD,104468,104468,104472,104470,104466,104466
2025-06-18T10:36:36.559741Z,BTC-USD,104468,104468,104472,104470,104467,104466
2025-06-18T10:36:36.607079Z,BTC-USD,104468,104462,104471,104467,104467,104466
2025-06-18T10:36:36.607079Z,BTC-USD,104462,104462,104471,104467,104466,104466
2025-06-18T10:36:36.607079Z,BTC-USD,104462,104462,104471,104467,104466,104466
2025-06-18T10:36:36.607079Z,BTC-USD,104462,104462,104471,104467,104466,104466
2025-06-18T10:36:36.728795Z,BTC-USD,104471,104463,104471,104467,104466,104466
2025-06-18T10:36:36.728795Z,BTC-USD,104471,104463,104471,104467,104467,104466
2025-06-18T10:36:36.882114Z,BTC-USD,104470,104468,104470,104469,104467,104466
2025-06-18T10:36:37.477057Z,BTC-USD,104472,104472,104472,104472,104467,104466
2025-06-18T10:36:37.586632Z,BTC-USD,104472,104472,104472,104472,104467,104467
2025-06-18T10:36:37.621315Z,BTC-USD,104472,104472,104472,104472,104467,104467
2025-06-18T10:36:38.142360Z,BTC-USD,104472,104472,104472,104472,104467,104467
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104472,104472,104472,104468,104467
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104472,104472,104472,104468,104467
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104472,104472,104472,104468,104468
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104472,104472,104472,104468,104468
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104472,104472,104472,104468,104468
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104472,104472,104472,104468,104468
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104472,104472,104472,104469,104468
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104472,104472,104472,104469,104468
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104472,104472,104472,104469,104468
2025-06-18T10:36:38.201838Z,BTC-USD,104472,104471,104472,104472,104469,104469
2025-06-18T10:36:38.201838Z,BTC-USD,104471,104470,104472,104471,104469,104469
2025-06-18T10:36:38.201838Z,BTC-USD,104470,104469,104472,104471,104469,104469
2025-06-18T10:36:38.201838Z,BTC-USD,104469,104466,104472,104469,104469,104469
2025-06-18T10:36:38.201838Z,BTC-USD,104466,104463,104472,104467,104469,104469
2025-06-18T10:36:38.201838Z,BTC-USD,104463,104463,104472,104467,104469,104469
2025-06-18T10:36:38.201838Z,BTC-USD,104463,104460,104472,104466,104468,104469
2025-06-18T10:36:38.201838Z,BTC-USD,104460,104459,104472,104466,104468,104468
2025-06-18T10:36:38.201838Z,BTC-USD,104459,104459,104472,104466,104468,104468
2025-06-18T10:36:38.201838Z,BTC-USD,104459,104459,104472,104466,104467,104468
